	control_1	control_2	control_3	control_4	opg_1	opg_2	opg_3	opg_4	gtdup_1	gtdup_2	gtdup_3
ENSG00000008130	788	486	610	602	446	646	492	407	820	730	698
ENSG00000078369	277	222	441	262	360	397	349	289	459	504	623
ENSG00000231050	9	3	5	6	3	8	3	7	10	6	7
ENSG00000169885	0	0	0	1	0	0	0	0	1	0	1
ENSG00000178821	0	0	0	3	1	0	2	0	0	0	0
ENSG00000142609	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233542	1	0	0	0	0	0	0	0	0	0	0
ENSG00000187730	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226969	0	0	0	0	0	0	1	0	0	0	0
ENSG00000067606	84	81	73	82	45	76	111	110	134	128	70
ENSG00000271806	9	10	11	5	2	8	16	11	13	20	15
ENSG00000182873	4	3	9	6	3	7	12	4	14	11	12
ENSG00000162585	135	121	211	154	141	174	147	150	178	222	202
ENSG00000234396	2	5	1	0	0	0	0	0	0	0	1
ENSG00000157933	711	1037	1628	1373	829	1199	947	1011	1170	1499	1284
ENSG00000287356	4	6	8	8	11	11	2	9	8	7	8
ENSG00000116151	48	36	44	46	37	28	34	25	24	38	35
ENSG00000272161	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269896	9	3	6	5	5	4	1	3	3	8	1
ENSG00000272420	0	0	1	0	0	0	0	0	0	0	2
ENSG00000157916	138	104	215	153	170	176	179	143	201	238	236
ENSG00000157911	35	58	74	47	55	81	59	51	68	86	121
ENSG00000149527	12	17	20	12	13	17	17	5	34	32	20
ENSG00000224387	0	1	0	0	0	1	0	0	1	0	0
ENSG00000229393	1	0	0	1	0	0	0	3	0	3	1
ENSG00000157881	301	238	226	236	182	218	234	221	243	193	172
ENSG00000197921	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272449	27	26	20	32	21	17	19	21	39	28	43
ENSG00000238164	583	282	377	333	269	314	311	242	545	368	367
ENSG00000157873	2641	1498	1642	1509	1036	1441	1353	1207	2306	1867	1483
ENSG00000225931	15	4	9	10	11	12	8	5	17	19	15
ENSG00000228037	1	0	0	1	1	5	2	1	2	0	5
ENSG00000157870	123	75	146	81	94	89	94	84	145	154	129
ENSG00000142606	14	9	23	12	15	8	9	8	29	20	19
ENSG00000237058	0	1	1	0	1	0	0	0	0	0	0
ENSG00000215912	12	6	6	12	9	12	13	3	33	20	20
ENSG00000285945	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283259	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233234	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287396	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284745	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169717	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177133	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142611	2	0	0	0	0	0	0	0	1	0	0
ENSG00000283572	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226286	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279839	1	0	0	0	0	0	0	0	0	0	0
ENSG00000272235	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287828	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286518	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130762	10	8	14	17	8	13	21	9	30	44	11
ENSG00000272088	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162591	110	107	49	45	29	49	79	111	66	107	48
ENSG00000207776	0	0	0	0	1	0	1	0	0	0	0
ENSG00000238260	2	0	2	3	3	1	1	0	1	1	4
ENSG00000158109	34	15	34	24	24	28	45	23	52	35	58
ENSG00000116213	77	67	100	64	79	104	96	99	109	88	113
ENSG00000078900	11	5	4	5	6	3	3	0	9	5	6
ENSG00000227589	0	0	0	1	1	0	0	0	0	0	0
ENSG00000235131	0	0	0	0	0	0	0	0	0	0	1
ENSG00000227372	346	314	199	225	156	246	255	223	255	205	186
ENSG00000276189	0	0	0	2	0	2	1	0	1	1	0
ENSG00000162592	29	32	9	27	12	37	27	12	28	9	14
ENSG00000235169	12	5	8	10	12	4	12	6	8	12	14
ENSG00000130764	129	120	167	169	130	137	125	108	150	150	128
ENSG00000266075	0	0	1	0	0	0	0	0	0	0	3
ENSG00000272153	19	8	22	10	14	19	19	18	13	14	14
ENSG00000116198	185	149	116	134	146	131	136	130	169	151	147
ENSG00000169598	60	46	43	37	40	44	36	48	74	46	40
ENSG00000198912	67	42	63	66	55	66	69	64	102	84	76
ENSG00000236423	9	2	3	9	9	12	5	7	17	10	8
ENSG00000233304	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226374	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284668	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284703	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229280	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235054	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284694	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232596	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196581	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287586	0	0	1	0	0	0	0	0	0	1	0
ENSG00000284739	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284674	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231510	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284616	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284692	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284666	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236948	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264341	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264101	0	0	1	0	2	0	0	0	0	1	0
ENSG00000131697	113	153	103	94	90	126	144	151	108	107	72
ENSG00000069424	1402	1012	1480	1152	1076	1325	889	869	1599	1420	1330
ENSG00000116254	4	4	3	0	3	2	4	4	2	1	5
ENSG00000285629	0	0	2	0	0	0	1	0	0	0	0
ENSG00000116251	32	33	89	81	59	66	78	49	102	137	121
ENSG00000226944	1	1	3	1	1	0	0	1	3	3	4
ENSG00000158286	85	81	206	202	46	93	90	78	326	282	227
ENSG00000116237	16	21	73	26	51	51	55	28	64	76	87
ENSG00000225077	3	6	13	3	10	3	8	2	10	11	9
ENSG00000173673	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158292	1	8	2	3	6	10	10	8	7	9	1
ENSG00000097021	7	10	20	22	20	18	22	18	22	32	15
ENSG00000271746	1	0	0	0	1	2	0	0	0	3	1
ENSG00000069812	0	0	0	0	0	0	0	0	1	0	0
ENSG00000187017	2	8	7	2	6	3	3	3	4	3	0
ENSG00000265392	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231868	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215788	36	69	79	85	47	87	19	19	21	16	42
ENSG00000171680	220	311	349	382	237	485	126	141	98	106	201
ENSG00000162408	107	76	130	99	88	90	101	85	140	128	127
ENSG00000253022	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229519	0	1	3	0	2	2	4	2	5	5	0
ENSG00000173662	1	0	0	0	1	3	0	0	2	4	0
ENSG00000204859	211	223	210	238	211	273	194	220	244	231	170
ENSG00000162413	185	150	234	231	212	239	147	167	248	231	201
ENSG00000116273	29	22	38	18	20	32	28	26	20	42	35
ENSG00000041988	156	124	123	125	84	115	120	121	133	139	106
ENSG00000007923	234	228	224	219	165	145	192	201	207	216	180
ENSG00000228750	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284744	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237436	0	0	4	0	0	3	1	0	0	0	3
ENSG00000171735	20	15	38	18	44	20	24	35	45	37	65
ENSG00000227950	0	0	2	0	2	2	4	2	0	1	3
ENSG00000237365	0	0	0	0	0	0	0	0	1	0	0
ENSG00000207056	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237402	1	0	0	0	0	0	1	0	2	2	0
ENSG00000237728	2	0	0	0	0	1	0	0	0	0	0
ENSG00000225126	0	0	0	0	0	1	1	0	0	0	0
ENSG00000270171	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270035	0	1	0	0	0	0	0	0	0	0	0
ENSG00000269978	0	0	0	1	0	0	0	0	0	0	0
ENSG00000049245	45	36	82	44	77	75	74	57	73	92	134
ENSG00000269925	0	0	1	2	3	2	3	3	0	8	5
ENSG00000049246	409	252	235	235	159	248	254	268	327	273	384
ENSG00000236266	57	26	34	24	23	31	41	32	56	29	69
ENSG00000049247	18	11	13	7	6	11	14	9	17	14	34
ENSG00000049249	4	7	14	16	33	20	20	10	123	211	34
ENSG00000270330	1	0	0	0	0	0	1	0	1	0	1
ENSG00000116288	22	29	83	30	35	43	48	25	53	63	89
ENSG00000200344	0	0	0	0	0	0	0	0	0	0	1
ENSG00000284747	3	8	6	16	6	15	11	7	5	11	1
ENSG00000284716	3	0	1	2	3	1	2	2	0	3	0
ENSG00000116285	7	3	8	1	6	2	5	5	2	9	8
ENSG00000238290	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232848	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229305	0	0	0	0	0	0	0	0	0	0	1
ENSG00000227634	0	0	0	0	0	0	0	0	0	0	1
ENSG00000200975	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233645	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251977	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162426	3	6	4	5	4	4	6	4	6	6	4
ENSG00000252254	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142599	696	568	781	648	505	741	561	561	676	665	603
ENSG00000232912	1	1	5	0	6	5	4	2	6	5	5
ENSG00000221083	1	0	0	0	0	1	0	0	0	0	0
ENSG00000270282	1	1	0	2	2	6	0	3	1	1	4
ENSG00000234619	0	1	0	1	2	2	1	2	1	3	7
ENSG00000224315	5	3	2	11	8	5	4	11	14	8	8
ENSG00000222511	0	0	0	0	2	0	2	0	1	0	1
ENSG00000226545	1	2	2	1	4	2	2	0	3	5	3
ENSG00000228423	7	5	7	5	4	5	6	9	20	13	4
ENSG00000229716	0	0	0	0	0	0	0	0	0	0	0
ENSG00000074800	178	267	543	304	429	446	403	336	419	618	663
ENSG00000274258	0	0	0	0	0	1	0	0	0	0	1
ENSG00000230679	0	1	2	1	4	1	1	2	0	2	1
ENSG00000201725	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238249	0	0	0	0	0	0	0	0	1	0	0
ENSG00000232208	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232663	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131686	0	0	0	0	1	0	0	0	0	0	0
ENSG00000265141	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197241	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142583	20	23	94	76	77	65	25	22	29	21	25
ENSG00000252404	0	0	0	0	0	0	0	0	0	0	0
ENSG00000180758	19	22	36	18	36	35	21	11	68	64	39
ENSG00000228526	216	161	188	196	240	216	205	148	285	164	140
ENSG00000284357	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234546	33	34	44	38	53	28	33	27	54	30	23
ENSG00000049239	484	307	886	564	676	848	437	408	763	866	1070
ENSG00000171621	113	79	178	85	84	100	128	108	212	189	306
ENSG00000284652	0	0	0	0	1	0	0	0	0	0	0
ENSG00000284693	6	1	1	2	6	3	5	2	3	1	12
ENSG00000252956	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235263	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171612	14	22	39	22	27	28	35	32	41	68	58
ENSG00000231181	1	0	2	1	4	3	1	1	3	4	6
ENSG00000188807	107	109	112	100	76	118	110	90	115	138	105
ENSG00000171608	1169	1006	1058	1010	588	901	985	938	1067	1036	964
ENSG00000179840	12	12	25	18	24	35	37	18	44	38	46
ENSG00000233268	3	4	5	3	2	5	8	12	8	17	11
ENSG00000231789	9	3	11	9	9	14	16	8	16	26	8
ENSG00000171603	539	469	690	467	426	485	520	505	612	627	680
ENSG00000271264	0	1	1	1	1	1	5	3	0	1	3
ENSG00000280113	0	0	1	0	0	0	1	0	0	1	0
ENSG00000178585	42	42	53	34	62	63	52	45	70	108	86
ENSG00000223989	5	6	7	4	13	2	7	3	9	10	11
ENSG00000285701	3	6	5	5	13	14	8	5	15	14	8
ENSG00000162441	41	48	109	59	89	69	46	48	95	141	119
ENSG00000228150	2	0	6	2	4	7	5	0	5	5	7
ENSG00000173614	30	11	40	25	34	37	20	18	59	42	48
ENSG00000202415	1	1	7	5	3	0	2	2	7	4	5
ENSG00000283611	2	2	8	3	1	7	4	2	7	11	9
ENSG00000265521	1	0	1	0	4	0	0	2	2	1	2
ENSG00000241326	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162444	0	0	0	0	1	1	0	0	2	1	0
ENSG00000130939	384	301	349	269	276	291	304	363	364	352	364
ENSG00000224340	0	0	0	1	0	0	0	0	2	0	0
ENSG00000233623	2	0	1	1	4	2	1	2	1	4	3
ENSG00000201746	0	0	0	0	0	0	0	0	0	0	1
ENSG00000054523	262	192	273	177	191	232	194	201	293	271	230
ENSG00000264881	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199562	0	0	0	0	0	1	0	0	0	0	0
ENSG00000264501	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284735	12	4	6	6	9	6	8	7	16	6	13
ENSG00000284642	5	4	1	5	3	5	8	3	6	3	4
ENSG00000142657	194	173	401	211	350	372	255	229	333	449	536
ENSG00000271989	0	1	3	1	0	2	0	0	3	3	0
ENSG00000251503	0	1	0	0	3	0	2	0	0	0	0
ENSG00000175279	0	0	1	0	0	0	0	0	0	0	0
ENSG00000241563	2	1	1	0	1	0	2	2	2	0	1
ENSG00000160049	71	62	88	56	89	97	66	64	112	140	112
ENSG00000203469	1	1	3	3	1	1	2	1	7	7	5
ENSG00000142655	72	68	85	47	53	71	68	48	94	97	99
ENSG00000287727	13	11	7	9	16	12	7	12	22	21	10
ENSG00000243267	1	2	0	1	0	1	3	2	1	3	2
ENSG00000130940	7	10	1	2	3	7	8	11	6	1	4
ENSG00000272078	2	0	1	2	3	2	1	0	2	2	6
ENSG00000225158	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175262	222	159	125	159	107	150	118	128	163	139	110
ENSG00000215785	0	4	1	1	1	1	1	1	0	0	0
ENSG00000120948	26	10	72	30	64	52	43	29	75	59	118
ENSG00000277726	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009724	6	4	18	4	23	20	13	6	17	21	39
ENSG00000271895	0	2	0	0	3	1	2	2	2	2	6
ENSG00000116649	24	51	106	65	57	61	60	50	79	105	75
ENSG00000171824	206	166	175	181	181	170	199	194	234	225	203
ENSG00000226849	42	40	34	39	31	34	37	49	42	58	41
ENSG00000230337	3	0	4	9	3	3	6	4	1	3	4
ENSG00000198793	959	922	870	863	640	780	750	857	848	837	711
ENSG00000225602	17	20	16	8	17	25	13	13	12	14	17
ENSG00000253086	0	0	1	0	0	2	0	1	0	0	2
ENSG00000171819	0	0	14	2	12	9	12	5	16	27	14
ENSG00000207451	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238173	0	0	0	0	0	3	2	0	1	2	1
ENSG00000120942	24	19	58	27	29	44	19	33	37	42	93
ENSG00000238199	0	0	2	0	3	0	2	1	0	2	0
ENSG00000284646	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224338	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204624	3	0	0	2	0	0	0	0	1	2	3
ENSG00000285833	0	0	0	1	0	0	0	0	0	0	0
ENSG00000235643	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284708	0	0	0	0	0	0	0	1	0	3	1
ENSG00000116661	4	11	8	12	13	15	16	8	49	74	42
ENSG00000132879	101	102	88	109	90	140	117	108	168	201	131
ENSG00000116663	17	7	16	14	15	24	16	8	35	37	49
ENSG00000116670	24	19	42	27	24	35	33	31	39	65	64
ENSG00000162490	1	1	0	2	0	1	0	0	0	0	0
ENSG00000177674	23	35	65	40	47	75	51	44	68	123	80
ENSG00000215910	224	172	247	192	150	209	152	111	205	200	163
ENSG00000177553	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177000	1126	757	936	786	704	963	788	762	1035	848	715
ENSG00000011021	729	636	656	649	519	665	642	700	880	696	543
ENSG00000276470	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278852	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175206	43	54	39	47	22	49	28	51	51	46	25
ENSG00000275915	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120937	0	0	0	0	0	1	0	0	0	2	0
ENSG00000224904	0	0	0	2	0	0	0	0	0	0	0
ENSG00000285646	1	4	5	4	5	7	4	6	15	5	14
ENSG00000199347	0	0	0	0	0	0	0	0	0	0	0
ENSG00000201801	0	0	0	0	0	1	0	1	0	0	1
ENSG00000116685	137	110	195	208	146	199	163	138	205	242	220
ENSG00000083444	193	229	263	257	226	262	214	267	243	259	186
ENSG00000287384	0	0	0	0	1	1	0	1	0	0	1
ENSG00000116688	267	237	320	252	242	291	237	232	279	309	278
ENSG00000270914	0	0	0	0	0	0	0	1	0	0	0
ENSG00000116691	210	287	270	341	200	257	220	255	244	356	164
ENSG00000202461	3	0	0	0	1	1	3	2	4	2	1
ENSG00000276869	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243539	0	0	0	0	1	0	0	1	0	0	0
ENSG00000120949	50	23	40	37	43	38	22	30	61	63	61
ENSG00000201135	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227875	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285604	0	0	0	0	0	0	0	0	1	1	0
ENSG00000283789	0	0	0	0	0	0	0	0	0	0	0
ENSG00000028137	765	627	1692	1274	1382	1798	716	583	1023	1337	1444
ENSG00000263676	19	6	11	13	1	6	14	10	5	4	0
ENSG00000225196	0	0	0	0	0	0	0	0	0	0	0
ENSG00000252969	0	0	0	0	0	0	0	0	0	0	0
ENSG00000048707	1301	963	938	913	729	945	887	961	1074	1008	932
ENSG00000239149	0	0	0	1	0	0	0	1	0	0	0
ENSG00000229484	15	5	15	10	4	14	16	12	7	7	6
ENSG00000162496	33	32	281	171	73	91	23	23	32	42	63
ENSG00000221340	0	0	2	0	0	1	0	0	0	0	1
ENSG00000276830	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272482	0	0	12	2	0	1	0	0	0	1	4
ENSG00000204518	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226166	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188984	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157330	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116726	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116721	0	0	0	0	0	0	0	0	0	0	0
